m50w,t85w,COG,mean,ang,std,kurt,sm2std,grmn,class
-0.291780426,-0.410563715,0.063908795,-0.280833618,-0.881831883,-0.359055972,-0.760124437,0,0,4FJ
-0.677441173,-0.662973667,0.851049397,-0.626304454,-0.757408716,-0.081039956,-0.754207166,0.5,-0.333333333,2FJ
-0.811302593,-0.703937995,0.595007532,-0.732869071,-0.693634682,-0.229418021,-0.236500402,0.75,-0.666666667,1FS
-0.609119105,-0.490868775,0.783211084,-0.796472049,-0.874330735,-0.552072968,-0.882240686,0.5,-0.333333333,4FJ
-0.64024571,-0.50586659,0.705572755,-0.879333694,-0.948724199,-0.769038523,-0.904363085,0.25,0,2FJ
-0.492064808,-0.566747624,-0.262932511,-0.942739147,-0.986553137,-0.929670859,-0.826069962,0.25,0,2FJ
-0.956565357,-0.923407269,-0.826028451,-0.867580969,-0.833136869,-0.483513685,0.637271731,0.75,-0.333333333,1FS
-0.327099051,-0.411171559,0.091387245,-0.938689889,-0.985122358,-0.945937636,-0.708446953,0.5,0,2FJ
-0.655535867,-0.716610681,0.127594034,-0.83577948,-0.911989633,-0.637401176,-0.538919289,0.75,-0.333333333,2FJ
-0.60463927,-0.476534936,0.088862559,-0.955479495,-0.962521979,-0.913367878,-0.734918245,0.5,0,1FS
-0.665520828,-0.687762461,0.779214064,-0.943331722,-0.957289938,-0.853341194,-0.820904305,0.75,-0.333333333,1FS
-0.668570768,-0.602203675,-0.507189786,-0.242118761,-0.468280622,0.691591264,-0.87980875,0.75,-0.333333333,2FJ
-0.467313969,-0.441386874,0.05377283,-0.133973946,-0.62250261,0.487120541,-0.93174719,0.25,0,2FJ
-0.212716537,-0.313239084,0.182085169,-0.859482453,-0.981336685,-0.920162441,-0.526561434,-0.5,-0.333333333,2FJ
-0.731710033,-0.858086376,-0.47588286,-0.962392863,-0.986379472,-0.91787651,-0.610067448,0.75,-0.333333333,1FS
-0.039060461,-0.127328212,-0.085031126,-0.806150764,-0.9749155,-0.890201279,-0.769803936,-0.25,0.333333333,4FJ
-0.647171483,-0.514766542,0.031245202,-0.824421805,-0.919289825,-0.69756867,-0.730663956,0.5,0,2FJ
-0.810768358,-0.908650801,-0.743689681,-0.861457701,-0.916178028,-0.62779536,-0.420063514,0.75,-0.333333333,1FS
0.134012678,0.2002993,0.17953392,-0.117776914,-0.779669624,-0.432458548,0.157563949,-0.5,0.666666667,4FJ
-0.321760499,-0.315334352,0.514650828,-0.124295232,-0.696656286,0.214329756,-0.872423129,0,0.333333333,4FJ
-0.622159416,-0.70119794,-0.62971078,-0.588083409,-0.854317079,-0.231002283,-0.857698149,0.5,0,4FJ
-0.669883881,-0.555746509,0.385663507,-0.872124039,-0.899843662,-0.712801308,-0.617018959,0.5,-0.333333333,1FS
-0.399671859,-0.580295509,-0.099292228,-0.796965861,-0.97926903,-0.855770488,-0.791195692,-0.25,0.333333333,4FJ
-0.891199758,-0.884581919,-0.182789198,-0.712128969,-0.773294496,-0.139238254,0.121329191,0.75,-0.333333333,1FS
-0.610786812,-0.478016537,0.754298736,-0.08538285,-0.485165833,0.907276007,-0.905760964,0.5,-0.333333333,2FJ
-0.641296465,-0.794028059,-0.423158453,-0.914591866,-0.980309052,-0.862878957,-0.785703476,0.5,0,4FJ
-0.007025553,-0.454075697,-0.182395267,0.068390189,-0.889230351,0.084143848,-0.618249067,-0.25,0.333333333,4FJ
-0.774230601,-0.885759293,-0.755707763,-0.844174283,-0.933495337,-0.627325815,-0.61822718,0.75,-0.333333333,2FJ
-0.808048881,-0.757216436,-0.316373534,-0.881605229,-0.900578881,-0.656467729,-0.50865469,0.5,-0.666666667,1FS
